file,sent_id,node,form,lemma,correction,local_function,local_category,parent_category,local_phrase,parent_phrase,nearest_np_function,nearest_np,chain,sentence
twitter.cgel,Tree TheFutureOfLinguistics-0,3,the,the,[none],Det,DP,NP,the,the #futureoflinguistics,Subj,the #futureoflinguistics,Head:D > Det:DP,"The #futureoflinguistics is integrative, computationally-aided, impactful in the world."
twitter.cgel,Tree TheFutureOfLinguistics-0,36,the,the,[none],Det,DP,NP,the,the world,Obj,the world,Head:D > Det:DP,"The #futureoflinguistics is integrative, computationally-aided, impactful in the world."
twitter.cgel,Tree Here-sThePaper-0,15,the,the,[none],Det,DP,NP,the,the paper that people who read it will find out about how resumptive pronouns help islands go down a little easier,Postnucleus,the paper that people who read it will find out about how resumptive pronouns help islands go down a little easier,Head:D > Det:DP,Here's the paper that people who read it will find out about how resumptive pronouns help islands go down a little easier.
twitter.cgel,Tree Here-sThePaper-0,92,a little,a little,[none],Mod,DP,AdvP,a little,a little easier,Postnucleus,the paper that people who read it will find out about how resumptive pronouns help islands go down a little easier,Head:D > Mod:DP,Here's the paper that people who read it will find out about how resumptive pronouns help islands go down a little easier.
twitter.cgel,Tree TrueNarcissism-0,25,everyone,everyone,[none],Det-Head,DP,Nom,everyone,everyone,Obj,everyone,Head:D > Det-Head:DP,True narcissism is just telling everyone your ideolect is a language.
twitter.cgel,Tree TrueNarcissism-0,46,a,a,[none],Det,DP,NP,a,a language,PredComp,a language,Head:D > Det:DP,True narcissism is just telling everyone your ideolect is a language.
twitter.cgel,Tree IsThatWhatYouCall-0,9,that,that,[none],Det-Head,DP,Nom,that,that,Subj,that,Head:D > Det-Head:DP,Is that what you call WH-movement?
twitter.cgel,Tree ItIsntThat-0,31,enough,enough,[none],Det,DP,NP,enough,enough workers,DisplacedSubj,enough workers,Head:D > Det:DP,"It isn't that there aren't enough workers, there just aren't enough workers at the wage firms want to pay."
twitter.cgel,Tree ItIsntThat-0,57,enough,enough,[none],Det,DP,NP,enough,enough workers,DisplacedSubj,enough workers,Head:D > Det:DP,"It isn't that there aren't enough workers, there just aren't enough workers at the wage firms want to pay."
twitter.cgel,Tree ItIsntThat-0,68,the,the,[none],Det,DP,NP,the,the wage firms want to pay,Obj,the wage firms want to pay,Head:D > Det:DP,"It isn't that there aren't enough workers, there just aren't enough workers at the wage firms want to pay."
twitter.cgel,Tree LanguageIdeologyIs-0,15,a,a,[none],Det,DP,NP,a,a hell of a drug,PredComp,a hell of a drug,Head:D > Det:DP,Language ideology is a hell of a drug!
twitter.cgel,Tree LanguageIdeologyIs-0,25,a,a,[none],Det,DP,NP,a,a drug,Obj,a drug,Head:D > Det:DP,Language ideology is a hell of a drug!
twitter.cgel,Tree WhoDidYouSee-0,5,anybody,anybody,[none],Det-Head,DP,Nom,anybody,anybody,Subj,anybody,Head:D > Det-Head:DP,Anybody want some rhoticity chicken?
