file,sent_id,node,form,lemma,correction,local_function,local_category,parent_category,local_phrase,parent_phrase,nearest_np_function,nearest_np,chain,sentence
twitter.cgel,Tree TrueNarcissism-0,25,everyone,everyone,[none],Det-Head,DP,Nom,everyone,everyone,Obj,everyone,Head:D > Det-Head:DP,True narcissism is just telling everyone your ideolect is a language.
twitter.cgel,Tree IsThatWhatYouCall-0,9,that,that,[none],Det-Head,DP,Nom,that,that,Subj,that,Head:D > Det-Head:DP,Is that what you call WH-movement?
twitter.cgel,Tree WhoDidYouSee-0,5,anybody,anybody,[none],Det-Head,DP,Nom,anybody,anybody,Subj,anybody,Head:D > Det-Head:DP,Anybody want some rhoticity chicken?
twitter.cgel,Tree IThinkSeeingEverybodys-0,20,everybody's,everybody,[none],Det-Head,DP,Nom,everybody's,everybody's,Det,everybody's,Head:D > Det-Head:DP,I think seeing Everybody's pooing face would be very interesting
twitter.cgel,Tree IsThatAllYouGot-0,9,that,that,[none],Det-Head,DP,Nom,that,that,Subj,that,Head:D > Det-Head:DP,Is that all you got winter?
twitter.cgel,Tree IsThatAllYouGot-0,16,all,all,[none],Det-Head,DP,Nom,all,all you got,PredComp,all you got,Head:D > Det-Head:DP,Is that all you got winter?
twitter.cgel,Tree WhyIsThereAWord-0,30,everything,everything,[none],Det-Head,DP,Nom,everything,everything,Obj,everything,Head:D > Det-Head:DP,Why is there a word for everything?
twitter.cgel,Tree ThatsWhat-0,7,that,that,[none],Det-Head,DP,Nom,that,that,Subj,that,Head:D > Det-Head:DP,So that's what I'm particularly interested in seeing if is true.
twitter.cgel,Tree ThisHasBeen-0,4,this,this,[none],Det-Head,DP,Nom,this,this,Subj,this,Head:D > Det-Head:DP,This has been arts and crafts hour with a syntactician.
twitter.cgel,Tree ThisMustNowBe-0,4,this,this,[none],Det-Head,DP,Nom,this,this,Subj,this,Head:D > Det-Head:DP,This must now be a moment to think again about the country that we want to be.
twitter.cgel,Tree ItBlowsMyMind-0,36,someone,someone,[none],Det-Head,DP,Nom,someone,someone who is both old enough to have sequence of tense in quoted speech and young enough to have been in middle school at a time when Wikipedia existed,DisplacedSubj,someone who is both old enough to have sequence of tense in quoted speech and young enough to have been in middle school at a time when Wikipedia existed,Head:D > Det-Head:DP,It blows my mind that there is someone who is both old enough to have sequence of tense in quoted speech and young enough to have been in middle school at a time when Wikipedia existed.
twitter.cgel,Tree StudioDecidesThisIsNoTime-0,14,this,this,[none],Det-Head,DP,Nom,this,this,Subj,this,Head:D > Det-Head:DP,Studio decides this is no time for No Time to Die to die
twitter.cgel,Tree Krugman-0,53,somewhere,somewhere,[none],Det-Head,DP,Nom,somewhere,somewhere to go,Obj,somewhere to go,Head:D > Det-Head:DP,"It's giving a pot of money that is looking for somewhere to go, something to do."
twitter.cgel,Tree Krugman-0,68,something,something,[none],Det-Head,DP,Nom,something,something to do,Obj_dir,something to do,Head:D > Det-Head:DP,"It's giving a pot of money that is looking for somewhere to go, something to do."
twitter.cgel,Tree TheDiscourseOnPronouns-0,45,none,none,[none],Det-Head,DP,Nom,none,none of these,Head,none of these,Head:D > Det-Head:DP,The discourse on pronouns is especially wild here considering that literally none of these are pronouns.
twitter.cgel,Tree TheDiscourseOnPronouns-0,53,these,this,[none],Det-Head,DP,Nom,these,these,Obj,these,Head:D > Det-Head:DP,The discourse on pronouns is especially wild here considering that literally none of these are pronouns.
twitter.cgel,Tree ThatIsSuchA-0,4,that,that,[none],Det-Head,DP,Nom,that,that,Subj,that,Head:D > Det-Head:DP,That is such a perfect example of the kind of nonsense that childhood consists of being forced to pretend is reasonable.
twitter.cgel,Tree WeReAllFriends-0,15,all,all,[none],Det-Head,DP,Nom,all,all,Mod,all,Head:D > Det-Head:DP,We're all friends on this journey against linguistic discrimination.
twitter.cgel,Tree AsOneOfTheWomen-0,7,one,one,[none],Det-Head,DP,Nom,one,one of the many women in STEM Steve Pinker has blocked,PredComp,one of the many women in STEM Steve Pinker has blocked,Head:D > Det-Head:DP,"As one of the many women in STEM Steve Pinker has blocked, I don't know what this tweet is saying."
ewt.cgel,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0070,25,something,something,[none],Det-Head,DP,Nom,something,something,Obj,something,Head:D > Det-Head:DP,"Maybe I'm missing something here, but how, exactly, does one 'Loose' 200,000 AK47's?"
ewt.cgel,newsgroup-groups.google.com_alt.animals_02c2d614bfbf6b20_ENG_20050223_232900-0063,70,all,all,[none],Det-Head,DP,Nom,all,all,Mod,all,Head:D > Det-Head:DP,"Bangs said these animals are not equipped to survive in the wild, however, and they all almost certainly have died."
ewt.cgel,newsgroup-groups.google.com_INTPunderground_b2c62e87877e4a22_ENG_20050906_165900-0085,10,30,30,[none],Det-Head,DP,Nom,30,30,Obj,30,Head:D > Det-Head:DP,"About 30 seconds into his address, he started flogging the terrorist issue just one more time."
ewt.cgel,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0046,20,no one,no one,[none],Det-Head,DP,Nom,no one,no one,Subj,no one,Head:D > Det-Head:DP,"But I also hope no one feels any obligation to download, especially if you have an internet connection as slow mine (28k)."
ewt.cgel,reviews-083459-0002,88,both,both,[none],Det-Head,DP,Nom,both,both,Obj,both,Head:D > Det-Head:DP,"Went there yesterday: we are trying to decide between two different Honda models, so we wanted to test-drive both back to back."
ewt.cgel,answers-20111106153454AAgT9Df_ans-0016,20,anything,anything,[none],Det-Head,DP,Nom,anything,anything,DisplacedSubj,anything,Head:D > Det-Head:DP,Not that there is anything wrong with that because they also employ local people that live and shop in the area.
ewt.cgel,answers-20111106153454AAgT9Df_ans-0016,31,that,that,[none],Det-Head,DP,Nom,that,that,Obj,that,Head:D > Det-Head:DP,Not that there is anything wrong with that because they also employ local people that live and shop in the area.
ewt.cgel,email-enronsent10_01-0082,47,each,each,[none],Det-Head,DP,Nom,each,each of her offices on 47 and 41,Obj,each of her offices on 47 and 41,Head:D > Det-Head:DP,Susan Scott would like authorization to order an Aeron chair for each of her offices - on 47 and 41.
ewt.cgel,newsgroup-groups.google.com_FOOLED_1bf9cdc5a4c2ac48_ENG_20050904_130400-0026,82,least,least,[none],Det-Head,DP,Nom,least,least,Obj,least,Head:D > Det-Head:DP,The bill reduces ISS operations by $120 million due to the continued reduced capability of the ISS for at least half of FY05.
ewt.cgel,answers-20111108104724AAuBUR7_ans-0060,8,that,that,[none],Det-Head,DP,Nom,that,that,Subj,that,Head:D > Det-Head:DP,If that is the case then acupuncture isn't going to hurt him.
ewt.cgel,answers-20111108083754AAEw5Xc_ans-0011,33,more,more,[none],Det-Head,DP,Nom,more,more,Obj,more,Head:D > Det-Head:DP,"(Two people in a cabin will spend more onboard, so cruise lines charge you more to sail alone."
ewt.cgel,answers-20111108083754AAEw5Xc_ans-0011,62,more,more,[none],Det-Head,DP,Nom,more,more,Obj_dir,more,Head:D > Det-Head:DP,"(Two people in a cabin will spend more onboard, so cruise lines charge you more to sail alone."
ewt.cgel,newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0012,3,53,53,[none],Det-Head,DP,Nom,53,53,,53 number of days after taking office that Bush reneged on his campaign promise to regulate carbon dioxide emissions from power plants,Head:D > Det-Head:DP,53 - Number of days after taking office that Bush reneged on his campaign promise to regulate carbon dioxide emissions from power plants.
ewt.cgel,weblog-blogspot.com_alaindewitt_20040929103700_ENG_20040929_103700-0050,13,that,that,[none],Det-Head,DP,Nom,that,that,Obj,that,Head:D > Det-Head:DP,"Requests like that weren’t unusual, says retired Col. William Campenni, who flew with Bush in 1970 and 1971."
ewt.cgel,answers-20111108103333AA3eSCk_ans-0019,67,all,all,[none],Det-Head,DP,Nom,all,all of the phone companie$ involved,Subj,all of the phone companie$ involved,Head:D > Det-Head:DP,$ometime$ it is hard to explain that you are making an INTERNATIONAL call and all of the phone companie$involved what $ome of your money.
ewt.cgel,answers-20111108103333AA3eSCk_ans-0019,99,$ome,some,some,Det-Head,DP,Nom,$ome,$ome of your money,Obj,$ome of your money,Head:D > Det-Head:DP,$ometime$ it is hard to explain that you are making an INTERNATIONAL call and all of the phone companie$involved what $ome of your money.
ewt.cgel,newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0118,3,5,5,[none],Det-Head,DP,Nom,5,5,,5 estimated percentage of US air cargo that is screened including cargo transported on passenger planes,Head:D > Det-Head:DP,"5 - Estimated Percentage of US air cargo that is screened, including cargo transported on passenger planes."
ewt.cgel,answers-20111108104724AAuBUR7_ans-0074,21,a few,a few,[none],Det-Head,DP,Nom,a few,a few,Obj,a few,Head:D > Det-Head:DP,"We've had a few since then, but none since our race horses began wintering in Florida."
ewt.cgel,answers-20111108104724AAuBUR7_ans-0074,39,none,none,[none],Det-Head,DP,Nom,none,none,Obj,none,Head:D > Det-Head:DP,"We've had a few since then, but none since our race horses began wintering in Florida."
ewt.cgel,answers-20111108084416AAoPgBv_ans-0004,22,anywhere,anywhere,[none],Det-Head,DP,Nom,anywhere,anywhere outside my hometown Charlotte North Carolina,Comp,anywhere outside my hometown Charlotte North Carolina,Head:D > Det-Head:DP,I have never been anywhere out side my home town Charlotte north Carolina please help!!!!
ewt.cgel,answers-20111108101024AANYJpw_ans-0016,84,enough,enough,[none],Det-Head,DP,Nom,enough,enough to steal your money and identity,Mod,enough to steal your money and identity,Head:D > Det-Head:DP,This person is not coming to visit you - the whole point of this scam is to gain your trust enough to steal your money and identity
ewt.cgel,email-enronsent39_01-0018,43,all,all,[none],Det-Head,DP,Nom,all,all,Obj,all,Head:D > Det-Head:DP,"If you have any questions or require any assistance at all, please contact Hope Duncan at 202.739.0134 or Jeff Mangold at 703.729.2710."
ewt.cgel,newsgroup-groups.google.com_FOOLED_7554c5ce34a5a49e_ENG_20051012_144800-0006,4,this,this,[none],Det-Head,DP,Nom,this,this,Subj,this,Head:D > Det-Head:DP,"This can also be through political, economical, social, and technological influence."
ewt.cgel,newsgroup-groups.google.com_FOOLED_7554c5ce34a5a49e_ENG_20051012_144800-0008,4,this,this,[none],Det-Head,DP,Nom,this,this,Subj,this,Head:D > Det-Head:DP,This is really an end goal aim of NASA & Company and also does not allow anyone challenging the moon landing hoax.
ewt.cgel,newsgroup-groups.google.com_FOOLED_7554c5ce34a5a49e_ENG_20051012_144800-0008,70,anyone,anyone,[none],Det-Head,DP,Nom,anyone,anyone,Obj,anyone,Head:D > Det-Head:DP,This is really an end goal aim of NASA & Company and also does not allow anyone challenging the moon landing hoax.
ewt.cgel,newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0152,3,2.3m,2.3,[none],Det-Head,DP,Nom,2.3m,2.3m,,2.3m number of Americans who lost their jobs during first three years of the Bush administration,Head:D > Det-Head:DP,2.3m - Number of Americans who lost their jobs during first three Years of the Bush administration.
ewt.cgel,answers-20111108105400AASqPIh_ans-0007,23,one,one,[none],Det-Head,DP,Nom,one,one of the major hospital that performance this procedure like Bumrungard Hospital or Yanhee Hospital,Obj,one of the major hospital that performance this procedure like Bumrungard Hospital or Yanhee Hospital,Head:D > Det-Head:DP,You need to check with one of the major hospital that performance this procedure like Bumrungard Hospital or Yanhee Hospital.
ewt.cgel,newsgroup-groups.google.com_INTPunderground_b2c62e87877e4a22_ENG_20050906_165900-0074,70,many,many,[none],Det-Head,DP,Nom,so many,so many,Subj,so many,Head:D > Det-Head:DP,I rarely listen to the news or to what politicians or lawyers say because so many tell lies that none have credibility so what's the point?
ewt.cgel,newsgroup-groups.google.com_INTPunderground_b2c62e87877e4a22_ENG_20050906_165900-0074,88,none,none,[none],Det-Head,DP,Nom,none,none,Subj,none,Head:D > Det-Head:DP,I rarely listen to the news or to what politicians or lawyers say because so many tell lies that none have credibility so what's the point?
ewt-test_pilot5.cgel,answers-20111107221352AAlIioO_ans-0003,26,one,one,[none],Det-Head,DP,Nom,one,one,Subj,one,Head:D > Det-Head:DP,I have two upcoming events one is for 200 and another is for 21.
ewt-test_pilot5.cgel,answers-20111107221352AAlIioO_ans-0003,40,200,200,[none],Det-Head,DP,Nom,200,200,Obj,200,Head:D > Det-Head:DP,I have two upcoming events one is for 200 and another is for 21.
ewt-test_pilot5.cgel,answers-20111107221352AAlIioO_ans-0003,50,another,another,[none],Det-Head,DP,Nom,another,another,Subj,another,Head:D > Det-Head:DP,I have two upcoming events one is for 200 and another is for 21.
ewt-test_pilot5.cgel,answers-20111107221352AAlIioO_ans-0003,63,21,21,[none],Det-Head,DP,Nom,21,21,Obj,21,Head:D > Det-Head:DP,I have two upcoming events one is for 200 and another is for 21.
ewt-test_iaa50.cgel,newsgroup-groups.google.com_JokeEruption_df151b356f94881c_ENG_20050819_155700-0015,17,once,once,[none],Det-Head,DP,Nom,once,once a year,Head,once a year,Head:D > Det-Head:DP,Visit people only once a year.
ewt-test_iaa50.cgel,answers-20111024111513AAAQhAO_ans-0003,12,something,something,[none],Det-Head,DP,Nom,something,something reliable and good-looking,Obj,something reliable and good-looking,Head:D > Det-Head:DP,I need something reliable and good looking.
ewt-test_iaa50.cgel,email-enronsent18_02-0079,8,this,this,[none],Det-Head,DP,Nom,this,this,Subj,this,Head:D > Det-Head:DP,Would this be fine?
ewt-test_iaa50.cgel,email-enronsent27_02-0008,24,much,much,[none],Det-Head,DP,Nom,how much,how much,Prenucleus,how much,Head:D > Det-Head:DP,I don't know how much it will help however.
ewt-test_iaa50.cgel,email-enronsent18_01-0008,23,someone,someone,[none],Det-Head,DP,Nom,someone,someone who could consider the correlation between US cpi and the $ euro exchange rate,DisplacedSubj,someone who could consider the correlation between US cpi and the $ euro exchange rate,Head:D > Det-Head:DP,"In addition, is there someone who could consider the correlation between US CPI and the $/euro exchange rate."
ewt-test_iaa50.cgel,weblog-blogspot.com_aggressivevoicedaily_20060811122000_ENG_20060811_122000-0033,12,22,22,[none],Det-Head,DP,Nom,22,22,Supplement,22,Head:D > Det-Head:DP,"Mohammed Dirie, 22, Kingston, Ont.;"
ewt-test_iaa50.cgel,answers-20111106103415AAqdokn_ans-0016,59,someone,someone,[none],Det-Head,DP,Nom,someone,someone,Obj,someone,Head:D > Det-Head:DP,Along with the great burger try a brick of onion rings if you are with someone.
ewt-test_iaa50.cgel,answers-20111107214231AA68BMD_ans-0001,9,anyone,anyone,[none],Det-Head,DP,Nom,anyone,anyone,Subj,anyone,Head:D > Det-Head:DP,Has anyone ever worked for steiner leisure cruises?
ewt-test_iaa50.cgel,answers-20111107155815AA6LXXJ_ans-0001,38,which,which,[none],Det-Head,DP,Nom,which,which,Subj,which,Head:D > Det-Head:DP,"out of carnival, royal caribbean, and norweigan (cruises) which is the best and why?"
ewt-test_iaa50.cgel,weblog-blogspot.com_aggressivevoicedaily_20060811122000_ENG_20060811_122000-0024,11,28,28,[none],Det-Head,DP,Nom,28,28,Supplement,28,Head:D > Det-Head:DP,"Umar Islam, 28, (born Brian Young) High Wycombe"
ewt-test_iaa50.cgel,reviews-085009-0003,39,everything,everything,[none],Det-Head,DP,Nom,everything,everything,Subj,everything,Head:D > Det-Head:DP,"The work was completed within one week, and everything was cleaned up on completion."
ewt-test_iaa50.cgel,weblog-blogspot.com_aggressivevoicedaily_20060811122000_ENG_20060811_122000-0029,11,20,20,[none],Det-Head,DP,Nom,20,20,Supplement,20,Head:D > Det-Head:DP,"Zakaria Amara, 20, Mississauga, Ont.;"
ewt-test_iaa50.cgel,weblog-juancole.com_juancole_20041018060600_ENG_20041018_060600-0012,85,some,some,[none],Det-Head,DP,Nom,only some,only some of whom,Prenucleus,only some of whom,Head:D > Det-Head:DP,"After that point, al-Qaeda was a joint enterprise between the Egyptian extremists and the polyglot Arabs around Bin Laden, only some of whom were Saudi."
