comparison,before_spec,after_spec,method_before,method_after,matched_before,matched_after,change_in_matched,ari_before,ari_after,change_in_ari,between_partition_ari,minimum_changed_forms
full_to_no_components,full__equal_features__sqrt_hamming__pam,no_components__equal_features__sqrt_hamming__pam,pam,pam,129,111,-18,0.754373152541918,0.366128962429392,-0.3882441901125259,0.5426152171283416,18
full_to_no_components,full__equal_features__sqrt_hamming__average,no_components__equal_features__sqrt_hamming__average,average,average,136,129,-7,0.942452203083014,0.754356879442656,-0.18809532364035808,0.8059879535910096,7
full_to_no_components,full__equal_features__sqrt_hamming__energy,no_components__equal_features__sqrt_hamming__energy,energy,energy,125,131,6,0.656232090438534,0.805989846809123,0.14975775637058897,0.8324195182240441,6
full_to_no_components,full__equal_features__hamming__pam,no_components__equal_features__hamming__pam,pam,pam,129,115,-14,0.754373152541918,0.440477562729972,-0.31389558981194593,0.6325634957483213,14
full_to_no_components,full__equal_features__hamming__average,no_components__equal_features__hamming__average,average,average,136,129,-7,0.942452203083014,0.754356879442656,-0.18809532364035808,0.8059879535910096,7
full_to_no_components,full__equal_features__jaccard__pam,no_components__equal_features__jaccard__pam,pam,pam,125,125,0,0.656184262785802,0.656186540594849,2.277809047046553e-06,0.7799556183218654,8
full_to_no_components,full__equal_features__jaccard__average,no_components__equal_features__jaccard__average,average,average,75,75,0,0.00399148870714579,0.00399148870714579,0.0,1.0,0
full_to_no_components,full__equal_domains__sqrt_hamming__pam,no_components__equal_domains__sqrt_hamming__pam,pam,pam,107,113,6,0.2985552169859,0.402507280234578,0.103952063248678,0.6287198361032271,14
full_to_no_components,full__equal_domains__sqrt_hamming__average,no_components__equal_domains__sqrt_hamming__average,average,average,104,109,5,0.252413533231221,0.331544480220811,0.07913094698959,0.7486125907173367,9
full_to_no_components,full__equal_domains__sqrt_hamming__energy,no_components__equal_domains__sqrt_hamming__energy,energy,energy,103,117,14,0.237788234678377,0.480274562291262,0.24248632761288497,0.6293032954637248,14
full_to_no_components,full__equal_domains__hamming__pam,no_components__equal_domains__hamming__pam,pam,pam,107,117,10,0.2985552169859,0.480274562291262,0.181719345305362,0.7273523717502677,10
full_to_no_components,full__equal_domains__hamming__average,no_components__equal_domains__hamming__average,average,average,104,115,11,0.252413533231221,0.440540561404208,0.188127028172987,0.6046467377241367,15
full_to_no_components,full__equal_domains__jaccard__pam,no_components__equal_domains__jaccard__pam,pam,pam,117,123,6,0.480202261250161,0.609652418061975,0.129450156811814,0.7799516781484633,8
full_to_no_components,full__equal_domains__jaccard__average,no_components__equal_domains__jaccard__average,average,average,73,123,50,-0.000224420335363643,0.609644659905124,0.6098690802404876,-0.003494217705918866,66
full_to_no_components,full__unique_profiles__sqrt_hamming__pam,no_components__unique_profiles__sqrt_hamming__pam,pam,pam,129,111,-18,0.754373152541918,0.366128962429392,-0.3882441901125259,0.5426152171283416,18
full_to_no_components,full__unique_profiles__sqrt_hamming__average,no_components__unique_profiles__sqrt_hamming__average,average,average,136,129,-7,0.942452203083014,0.754356879442656,-0.18809532364035808,0.8059879535910096,7
full_to_no_components,full__unique_profiles__sqrt_hamming__energy,no_components__unique_profiles__sqrt_hamming__energy,energy,energy,125,131,6,0.656232090438534,0.805989846809123,0.14975775637058897,0.8324195182240441,6
full_to_no_components,full__unique_profiles__hamming__pam,no_components__unique_profiles__hamming__pam,pam,pam,129,115,-14,0.754373152541918,0.440477562729972,-0.31389558981194593,0.6325634957483213,14
full_to_no_components,full__unique_profiles__hamming__average,no_components__unique_profiles__hamming__average,average,average,136,129,-7,0.942452203083014,0.754356879442656,-0.18809532364035808,0.8059879535910096,7
full_to_no_components,full__unique_profiles__jaccard__pam,no_components__unique_profiles__jaccard__pam,pam,pam,125,125,0,0.656184262785802,0.656186540594849,2.277809047046553e-06,0.7799556183218654,8
