"spec_id","scope","feature_set","features","weighting","distance","method","k","matched","total","ari","balanced_accuracy","orientation_tied","size_1","size_2","silhouette","objective","starts","iterations","tied_best_partitions","converged"
"full__equal_features__sqrt_hamming__pam","core","full",155,"equal_features","sqrt_hamming","pam",2,129,138,0.754373152541918,0.93245521601686,FALSE,78,60,0.135999584106831,0.375934995157738,1,,1,TRUE
"full__equal_features__sqrt_hamming__average","core","full",155,"equal_features","sqrt_hamming","average",2,136,138,0.942452203083014,0.984615384615385,FALSE,75,63,0.134740302534028,,1,,1,TRUE
"full__equal_features__sqrt_hamming__energy","core","full",155,"equal_features","sqrt_hamming","energy",2,125,138,0.656232090438534,0.901685985247629,FALSE,82,56,0.143060078639729,28.4710942877406,100,3,1,TRUE
"full__equal_features__hamming__pam","core","full",155,"equal_features","hamming","pam",2,129,138,0.754373152541918,0.93245521601686,FALSE,78,60,0.237965674475469,0.147078073866293,1,,1,TRUE
"full__equal_features__hamming__average","core","full",155,"equal_features","hamming","average",2,136,138,0.942452203083014,0.984615384615385,FALSE,75,63,0.234885946656723,,1,,1,TRUE
"full__equal_features__jaccard__pam","core","full",155,"equal_features","jaccard","pam",2,125,138,0.656184262785802,0.907586933614331,FALSE,68,70,0.165988573457053,0.55369951808529,1,,1,TRUE
"full__equal_features__jaccard__average","core","full",155,"equal_features","jaccard","average",2,75,138,0.00399148870714579,0.515384615384615,FALSE,136,2,0.159409159840111,,1,,1,TRUE
"full__equal_domains__sqrt_hamming__pam","core","full",155,"equal_domains","sqrt_hamming","pam",2,107,138,0.2985552169859,0.765753424657534,FALSE,94,44,0.205585727398732,0.367683234455656,1,,1,TRUE
"full__equal_domains__sqrt_hamming__average","core","full",155,"equal_domains","sqrt_hamming","average",2,104,138,0.252413533231221,0.741833508956797,FALSE,99,39,0.218201033740646,,1,,1,TRUE
"full__equal_domains__sqrt_hamming__energy","core","full",155,"equal_domains","sqrt_hamming","energy",2,103,138,0.237788234678377,0.734984193888303,FALSE,98,40,0.219551114265229,28.5223204969112,100,3,1,TRUE
"full__equal_domains__hamming__pam","core","full",155,"equal_domains","hamming","pam",2,107,138,0.2985552169859,0.765753424657534,FALSE,94,44,0.350308386520323,0.142221856243596,1,,1,TRUE
